alt_brand,alt_generic,alt_manu,year,total_claims_16,total_claims_17
ventolin hfa,albuterol sulfate,glaxosmithkline,2013,2565602,2565399
ventolin hfa,albuterol sulfate,glaxosmithkline,2014,2387639,2387385
ventolin hfa,albuterol sulfate,glaxosmithkline,2015,2713512,2713246
ventolin hfa,albuterol sulfate,glaxosmithkline,2016,5667418,5667317
albuterol sulfate,albuterol sulfate,qualitest/par p,2013,15976,3343
albuterol sulfate,albuterol sulfate,qualitest/par p,2014,23384,6506
albuterol sulfate,albuterol sulfate,qualitest/par p,2015,23788,6198
albuterol sulfate,albuterol sulfate,qualitest/par p,2016,7574,345
albuterol sulfate,albuterol sulfate,vistapharm,2016,NA,153
sure comfort alcohol,alcohol antiseptic pads,allison medical,2013,35989,34090
sure comfort alcohol,alcohol antiseptic pads,allison medical,2014,26809,26251
sure comfort alcohol,alcohol antiseptic pads,allison medical,2015,22523,22398
sure comfort alcohol,alcohol antiseptic pads,allison medical,2016,13396,13993
alcohol wipes,alcohol antiseptic pads,amerisourceberg,2016,NA,55
alcohol prep pads,alcohol antiseptic pads,cvs,2016,NA,2728
pro comfort alcohol pads,alcohol antiseptic pads,home aide diagn,2016,NA,62
easy touch alcohol prep pads,alcohol antiseptic pads,mhc medical pro,2015,44666,44676
easy touch alcohol prep pads,alcohol antiseptic pads,mhc medical pro,2016,52714,52889
alcohol prep pads,alcohol antiseptic pads,phoenix healthc,2014,35751,35732
alcohol prep pads,alcohol antiseptic pads,phoenix healthc,2015,164972,164920
alcohol prep pads,alcohol antiseptic pads,phoenix healthc,2016,187751,187686
alcohol swabs,alcohol antiseptic pads,rugby,2013,65240,NA
alcohol swabs,alcohol antiseptic pads,rugby,2014,21426,NA
alcohol swabs,alcohol antiseptic pads,rugby,2015,2379,NA
alcohol swabs,alcohol antiseptic pads,rugby,2016,296,NA
alcohol prep pads,alcohol antiseptic pads,simple diagnost,2016,234378,234877
alcohol swabs,alcohol antiseptic pads,ultimed inc,2016,NA,183
alecensa,alectinib hcl,"genentech, inc.",2015,NA,11
alecensa,alectinib hcl,"genentech, inc.",2016,NA,1876
lemtrada,alemtuzumab,genzyme,2015,NA,48
lemtrada,alemtuzumab,genzyme,2016,NA,88
alendronate sodium,alendronate sodium,apotex corp,2013,36084,32009
alendronate sodium,alendronate sodium,apotex corp,2014,156664,153173
alendronate sodium,alendronate sodium,apotex corp,2015,31335,30657
alendronate sodium,alendronate sodium,apotex corp,2016,7664,7118
alendronate sodium,alendronate sodium,"gsms, inc.",2015,105,NA
alendronate sodium,alendronate sodium,"gsms, inc.",2016,198,NA
alendronate sodium,alendronate sodium,impax generics,2016,NA,118
alendronate sodium,alendronate sodium,virtus pharmace,2015,700722,700751
alendronate sodium,alendronate sodium,virtus pharmace,2016,386854,398106
alendronate sodium,alendronate sodium,watson labs,2013,45907,NA
alendronate sodium,alendronate sodium,watson labs,2014,2960,NA
alendronate sodium,alendronate sodium,watson labs,2015,386,NA
alendronate sodium,alendronate sodium,watson labs,2016,109,NA
alfuzosin hcl er,alfuzosin hcl,"cipla usa, inc.",2016,NA,29180
uroxatral,alfuzosin hcl,covis/concordia,2014,3055,NA
uroxatral,alfuzosin hcl,covis/concordia,2015,4750,NA
uroxatral,alfuzosin hcl,covis/concordia,2016,792,NA
praluent pen,alirocumab,sanofi-aventis,2016,77539,77611
praluent syringe,alirocumab,sanofi-aventis,2015,NA,44
praluent syringe,alirocumab,sanofi-aventis,2016,NA,1859
tekturna,aliskiren hemifumarate,novartis,2013,757,NA
tekturna,aliskiren hemifumarate,novartis,2014,789,NA
tekturna,aliskiren hemifumarate,novartis,2015,233,NA
tekturna,aliskiren hemifumarate,novartis,2016,86,NA
allopurinol,allopurinol,accord healthca,2016,1140507,1220954
allopurinol,allopurinol,ingenus pharmac,2016,NA,13264
allopurinol,allopurinol,mylan instituti,2013,6030,6012
allopurinol,allopurinol,mylan instituti,2014,12006,11943
allopurinol,allopurinol,mylan instituti,2015,12707,12616
allopurinol,allopurinol,mylan instituti,2016,7163,7093
zyloprim,allopurinol,prometh/casper,2013,NA,1683
zyloprim,allopurinol,prometh/casper,2014,NA,1434
zyloprim,allopurinol,prometh/casper,2015,NA,1292
zyloprim,allopurinol,prometh/casper,2016,NA,1105
zyloprim,allopurinol,prometheus labs,2013,1683,NA
zyloprim,allopurinol,prometheus labs,2014,1434,NA
zyloprim,allopurinol,prometheus labs,2015,1292,NA
zyloprim,allopurinol,prometheus labs,2016,1105,NA
allopurinol,allopurinol,sun pharmaceuti,2013,NA,12669
allopurinol,allopurinol,sun pharmaceuti,2014,NA,1761
allopurinol,allopurinol,sun pharmaceuti,2015,NA,128
allopurinol,allopurinol,sun pharmaceuti,2016,NA,77019
almotriptan malate,almotriptan malate,ajanta pharma l,2016,NA,1030
almotriptan malate,almotriptan malate,mylan,2016,NA,1569
almotriptan malate,almotriptan malate,teva usa,2015,757,NA
almotriptan malate,almotriptan malate,teva usa,2016,1497,NA
alogliptin-metformin,alogliptin benz/metformin hcl,perrigo co.,2016,NA,1753
alogliptin-pioglitazone,alogliptin benz/pioglitazone,perrigo co.,2016,NA,4447
alogliptin,alogliptin benzoate,perrigo co.,2016,NA,5416
lotronex,alosetron hcl,prometheus labs,2013,9569,NA
lotronex,alosetron hcl,prometheus labs,2014,10273,NA
lotronex,alosetron hcl,prometheus labs,2015,6739,NA
lotronex,alosetron hcl,prometheus labs,2016,1449,NA
lotronex,alosetron hcl,sebela pharmace,2016,NA,331
prolastin c,alpha-1-proteinase inhibitor,grifols therape,2015,13510,11536
prolastin c,alpha-1-proteinase inhibitor,grifols therape,2016,12956,10733
alprazolam,alprazolam,actavis pharma/,2013,3489087,10436
alprazolam,alprazolam,actavis pharma/,2013,3489087,3478651
alprazolam,alprazolam,actavis pharma/,2014,3858608,2870
alprazolam,alprazolam,actavis pharma/,2014,3858608,3855738
alprazolam,alprazolam,actavis pharma/,2015,4038049,1952
alprazolam,alprazolam,actavis pharma/,2015,4038049,4036097
alprazolam,alprazolam,actavis pharma/,2016,3985342,845
alprazolam,alprazolam,actavis pharma/,2016,3985342,3984497
alprazolam,alprazolam,bionpharma inc.,2016,NA,40949
alprazolam,alprazolam,boca pharmacal/,2013,125551,85798
alprazolam,alprazolam,boca pharmacal/,2014,133303,88250
alprazolam,alprazolam,boca pharmacal/,2015,165636,113876
alprazolam,alprazolam,boca pharmacal/,2016,23277,16194
alprazolam,alprazolam,mckesson packag,2014,51,22
alprazolam,alprazolam,mckesson packag,2015,407,347
alprazolam,alprazolam,mckesson packag,2016,874,823
alprazolam,alprazolam,mylan,2013,220726,207114
alprazolam,alprazolam,mylan,2014,26181,16495
alprazolam,alprazolam,mylan,2015,284159,277881
alprazolam,alprazolam,mylan,2016,519904,518745
alprazolam,alprazolam,qualitest/par p,2013,1344312,NA
alprazolam,alprazolam,qualitest/par p,2014,1301638,NA
alprazolam,alprazolam,qualitest/par p,2015,701289,NA
alprazolam,alprazolam,qualitest/par p,2016,24114,NA
alprazolam,alprazolam,sun pharma glob,2013,817129,779074
alprazolam,alprazolam,sun pharma glob,2014,891983,853298
alprazolam,alprazolam,sun pharma glob,2015,415646,387021
alprazolam,alprazolam,sun pharma glob,2016,50271,49297
amantadine,amantadine hcl,bionpharma inc.,2016,NA,17683
amantadine,amantadine hcl,upsher smith la,2013,169667,159904
amantadine,amantadine hcl,upsher smith la,2014,182481,179917
amantadine,amantadine hcl,upsher smith la,2015,206691,205958
amantadine,amantadine hcl,upsher smith la,2016,232757,232518
amantadine,amantadine hcl,zydus pharmaceu,2016,NA,585
amikacin sulfate,amikacin sulfate,app/fresenius k,2016,NA,1837
amikacin sulfate,amikacin sulfate,novaplus/teva,2015,286,NA
amikacin sulfate,amikacin sulfate,novaplus/teva,2016,210,NA
amikacin sulfate,amikacin sulfate,sagent pharmace,2016,NA,973
amikacin sulfate,amikacin sulfate,"west-ward, inc.",2015,NA,18
amikacin sulfate,amikacin sulfate,"west-ward, inc.",2016,NA,2164
aminocaproic acid,aminocaproic acid,versapharm/akor,2013,6060,NA
aminocaproic acid,aminocaproic acid,versapharm/akor,2014,5599,NA
aminocaproic acid,aminocaproic acid,versapharm/akor,2015,3622,NA
aminocaproic acid,aminocaproic acid,versapharm/akor,2016,479,NA
amiodarone hcl,amiodarone hcl,ahp,2013,1668,1606
amiodarone hcl,amiodarone hcl,ahp,2014,2620,2557
amiodarone hcl,amiodarone hcl,ahp,2015,1903,1827
amiodarone hcl,amiodarone hcl,ahp,2016,1955,1886
amiodarone hcl,amiodarone hcl,aurobindo pharm,2016,NA,29567
amiodarone hcl,amiodarone hcl,major pharmaceu,2016,NA,69
cordarone,amiodarone hcl,wyeth pharm,2013,854,NA
cordarone,amiodarone hcl,wyeth pharm,2014,789,NA
cordarone,amiodarone hcl,wyeth pharm,2015,538,NA
cordarone,amiodarone hcl,wyeth pharm,2016,132,NA
amitriptyline hcl,amitriptyline hcl,mylan,2013,1379784,1312121
amitriptyline hcl,amitriptyline hcl,mylan,2014,1309056,1251244
amitriptyline hcl,amitriptyline hcl,mylan,2015,1016892,1012882
amitriptyline hcl,amitriptyline hcl,mylan,2016,737869,737215
amitriptyline hcl,amitriptyline hcl,mylan instituti,2013,311213,3119
amitriptyline hcl,amitriptyline hcl,mylan instituti,2014,315185,5934
amitriptyline hcl,amitriptyline hcl,mylan instituti,2015,39489,14088
amitriptyline hcl,amitriptyline hcl,mylan instituti,2016,12075,11043
amlodipine-olmesartan,amlodipine bes/olmesartan med,ajanta pharma l,2016,NA,2619
amlodipine-olmesartan,amlodipine bes/olmesartan med,macleods pharma,2016,NA,4184
amlodipine-olmesartan,amlodipine bes/olmesartan med,sun pharmaceuti,2016,NA,10602
amlodipine-olmesartan,amlodipine bes/olmesartan med,teva usa,2016,NA,7275
amlodipine besylate,amlodipine besylate,ahp,2014,8796,8725
amlodipine besylate,amlodipine besylate,ahp,2015,13185,13056
amlodipine besylate,amlodipine besylate,ahp,2016,14043,13935
amlodipine besylate,amlodipine besylate,amneal pharmace,2013,693517,281277
amlodipine besylate,amlodipine besylate,amneal pharmace,2014,130494,99554
amlodipine besylate,amlodipine besylate,amneal pharmace,2015,66067,49365
amlodipine besylate,amlodipine besylate,amneal pharmace,2016,3272,2491
amlodipine besylate,amlodipine besylate,"cipla usa, inc.",2016,4987830,6791829
amlodipine besylate,amlodipine besylate,exelan pharmace,2013,5562,5532
amlodipine besylate,amlodipine besylate,exelan pharmace,2014,6811,6745
amlodipine besylate,amlodipine besylate,exelan pharmace,2015,12685,12398
amlodipine besylate,amlodipine besylate,exelan pharmace,2016,12704,12645
amlodipine besylate,amlodipine besylate,legacy pharmace,2016,1566474,1618828
amlodipine besylate,amlodipine besylate,mylan instituti,2013,876264,27733
amlodipine besylate,amlodipine besylate,mylan instituti,2014,1189871,21976
amlodipine besylate,amlodipine besylate,mylan instituti,2015,583608,19937
amlodipine besylate,amlodipine besylate,mylan instituti,2016,19250,18272
amlodipine besylate,amlodipine besylate,roxane/west-war,2015,1179466,1147920
amlodipine besylate,amlodipine besylate,roxane/west-war,2016,890368,846962
amlodipine besylate,amlodipine besylate,wockhardt usa l,2013,681395,565562
amlodipine besylate,amlodipine besylate,wockhardt usa l,2014,36086,31134
amlodipine besylate,amlodipine besylate,wockhardt usa l,2015,7496,6861
amlodipine besylate,amlodipine besylate,wockhardt usa l,2016,944,881
amlodipine besylate,amlodipine besylate,zydus pharmaceu,2013,2657393,2657303
amlodipine besylate,amlodipine besylate,zydus pharmaceu,2014,3459151,3459043
amlodipine besylate,amlodipine besylate,zydus pharmaceu,2015,2693803,2693747
amlodipine besylate,amlodipine besylate,zydus pharmaceu,2016,1295824,1295763
amlodipine besylate-benazepril,amlodipine besylate/benazepril,citron pharma l,2016,NA,7564
amlodipine besylate-benazepril,amlodipine besylate/benazepril,lupin pharmaceu,2013,644049,643034
amlodipine besylate-benazepril,amlodipine besylate/benazepril,lupin pharmaceu,2014,617757,617326
amlodipine besylate-benazepril,amlodipine besylate/benazepril,lupin pharmaceu,2015,549397,549000
amlodipine besylate-benazepril,amlodipine besylate/benazepril,lupin pharmaceu,2016,480589,480393
lotrel,amlodipine besylate/benazepril,novartis,2013,23611,20978
lotrel,amlodipine besylate/benazepril,novartis,2014,19717,17702
lotrel,amlodipine besylate/benazepril,novartis,2015,16461,14961
lotrel,amlodipine besylate/benazepril,novartis,2016,12620,12307
amlodipine besylate-benazepril,amlodipine besylate/benazepril,par pharm.,2013,26312,NA
amlodipine besylate-benazepril,amlodipine besylate/benazepril,par pharm.,2014,5609,NA
amlodipine besylate-benazepril,amlodipine besylate/benazepril,par pharm.,2015,898,NA
amlodipine besylate-benazepril,amlodipine besylate/benazepril,par pharm.,2016,78,NA
amlodipine-valsartan,amlodipine besylate/valsartan,aurobindo pharm,2016,NA,655
amlodipine-valsartan,amlodipine besylate/valsartan,gavis/lupin,2015,1141,1183
amlodipine-valsartan,amlodipine besylate/valsartan,gavis/lupin,2016,1850,1927
exforge,amlodipine besylate/valsartan,novartis,2013,NA,726518
exforge,amlodipine besylate/valsartan,novartis,2014,NA,577835
exforge,amlodipine besylate/valsartan,novartis,2015,NA,113712
exforge,amlodipine besylate/valsartan,novartis,2016,NA,20981
amlodipine-valsartan,amlodipine besylate/valsartan,trigen laborato,2016,NA,1545
amlodipine-atorvastatin,amlodipine/atorvastatin,greenstone llc.,2014,10613,10529
amlodipine-atorvastatin,amlodipine/atorvastatin,greenstone llc.,2015,33771,33069
amlodipine-atorvastatin,amlodipine/atorvastatin,greenstone llc.,2016,43589,41533
amlodipine-atorvastatin,amlodipine/atorvastatin,mylan,2013,6416,NA
amlodipine-atorvastatin,amlodipine/atorvastatin,mylan,2014,23830,7778
amlodipine-atorvastatin,amlodipine/atorvastatin,mylan,2015,28362,9793
amlodipine-atorvastatin,amlodipine/atorvastatin,mylan,2016,8805,5014
caduet,amlodipine/atorvastatin,pfizer us pharm,2013,12302,12294
caduet,amlodipine/atorvastatin,pfizer us pharm,2014,7154,7120
caduet,amlodipine/atorvastatin,pfizer us pharm,2015,4889,4855
caduet,amlodipine/atorvastatin,pfizer us pharm,2016,5776,5769
amlodipine-atorvastatin,amlodipine/atorvastatin,ranbaxy/sun pha,2013,87661,83178
amlodipine-atorvastatin,amlodipine/atorvastatin,ranbaxy/sun pha,2014,68521,65275
amlodipine-atorvastatin,amlodipine/atorvastatin,ranbaxy/sun pha,2015,20458,19260
amlodipine-atorvastatin,amlodipine/atorvastatin,ranbaxy/sun pha,2016,3186,2985
exforge,amlodipine/valsartan,novartis,2013,726518,NA
exforge,amlodipine/valsartan,novartis,2014,577835,NA
exforge,amlodipine/valsartan,novartis,2015,113712,NA
exforge,amlodipine/valsartan,novartis,2016,20981,NA
amoxicillin,amoxicillin,bi-coastal phar,2016,NA,1138
amoxicillin,amoxicillin,citron pharma l,2015,374094,374138
amoxicillin,amoxicillin,citron pharma l,2016,536511,536888
amoxicillin,amoxicillin,dava pharmaceut,2015,22436,22491
amoxicillin,amoxicillin,dava pharmaceut,2016,862889,863821
amoxicillin,amoxicillin,dr.reddy's lab,2013,53521,51839
amoxicillin,amoxicillin,dr.reddy's lab,2014,86911,85581
amoxicillin,amoxicillin,dr.reddy's lab,2015,20560,20345
amoxicillin,amoxicillin,dr.reddy's lab,2016,4763,4711
amoxicillin,amoxicillin,qualitest/par p,2013,258174,249998
amoxicillin,amoxicillin,qualitest/par p,2014,265966,257914
amoxicillin,amoxicillin,qualitest/par p,2015,286682,278843
amoxicillin,amoxicillin,qualitest/par p,2016,14116,11757
amoxicillin,amoxicillin,sandoz,2013,2605090,2605135
amoxicillin,amoxicillin,sandoz,2014,2678225,2678186
amoxicillin,amoxicillin,sandoz,2015,2535427,2535374
amoxicillin,amoxicillin,sandoz,2016,1697606,1698145
amoxicillin,amoxicillin,teva usa,2013,802544,802450
amoxicillin,amoxicillin,teva usa,2014,1371098,1371023
amoxicillin,amoxicillin,teva usa,2015,1727579,1727481
amoxicillin,amoxicillin,teva usa,2016,1972949,1972854
amoxicillin,amoxicillin,"west-ward, inc.",2013,265648,265691
amoxicillin,amoxicillin,"west-ward, inc.",2014,325589,325621
amoxicillin,amoxicillin,"west-ward, inc.",2015,188294,188338
amoxicillin,amoxicillin,"west-ward, inc.",2016,316939,317009
amoxicillin-clavulanate potass,amoxicillin/potassium clav,aurobindo pharm,2013,279550,279230
amoxicillin-clavulanate potass,amoxicillin/potassium clav,aurobindo pharm,2014,314579,314179
amoxicillin-clavulanate potass,amoxicillin/potassium clav,aurobindo pharm,2015,552770,552088
amoxicillin-clavulanate potass,amoxicillin/potassium clav,aurobindo pharm,2016,767099,766749
amoxicillin-clavulanate potass,amoxicillin/potassium clav,dr.reddy's lab,2013,718997,713120
amoxicillin-clavulanate potass,amoxicillin/potassium clav,dr.reddy's lab,2014,822460,815858
amoxicillin-clavulanate potass,amoxicillin/potassium clav,dr.reddy's lab,2015,505164,500308
amoxicillin-clavulanate potass,amoxicillin/potassium clav,dr.reddy's lab,2016,27613,27173
amoxicillin-clavulanate potass,amoxicillin/potassium clav,mylan,2016,NA,8718
amoxicillin-clavulanate potass,amoxicillin/potassium clav,northstar rx ll,2015,453612,453618
amoxicillin-clavulanate potass,amoxicillin/potassium clav,northstar rx ll,2016,151839,460191
amoxicillin-clavulanate potass,amoxicillin/potassium clav,sandoz,2013,1503154,1502899
amoxicillin-clavulanate potass,amoxicillin/potassium clav,sandoz,2014,1827000,1826705
amoxicillin-clavulanate potass,amoxicillin/potassium clav,sandoz,2015,2132076,2131763
amoxicillin-clavulanate potass,amoxicillin/potassium clav,sandoz,2016,2578954,2582776
amoxicillin-clavulanate potass,amoxicillin/potassium clav,"west-ward, inc.",2013,1324,1375
amoxicillin-clavulanate potass,amoxicillin/potassium clav,"west-ward, inc.",2014,1692,1727
amoxicillin-clavulanate potass,amoxicillin/potassium clav,"west-ward, inc.",2015,2157,2190
amoxicillin-clavulanate potass,amoxicillin/potassium clav,"west-ward, inc.",2016,4297,4355
adzenys xr-odt,amphetamine,neos therapeuti,2016,NA,60
evekeo,amphetamine sulfate,arbor pharmaceu,2015,236,NA
evekeo,amphetamine sulfate,arbor pharmaceu,2016,488,139
ampicillin sodium,ampicillin sodium,sandoz/novaplus,2013,334,340
ampicillin sodium,ampicillin sodium,sandoz/novaplus,2014,801,816
ampicillin sodium,ampicillin sodium,sandoz/novaplus,2015,778,814
ampicillin sodium,ampicillin sodium,sandoz/novaplus,2016,954,1052
ampicillin sodium,ampicillin sodium,sandoz/premier,2016,NA,217
ampicillin sodium,ampicillin sodium,wg critical car,2013,204,167
ampicillin sodium,ampicillin sodium,wg critical car,2014,516,428
ampicillin sodium,ampicillin sodium,wg critical car,2015,811,754
ampicillin sodium,ampicillin sodium,wg critical car,2016,1348,1239
ampicillin-sulbactam,ampicillin sodium/sulbactam na,app/fresenius k,2013,1910,1812
ampicillin-sulbactam,ampicillin sodium/sulbactam na,app/fresenius k,2014,3008,2882
ampicillin-sulbactam,ampicillin sodium/sulbactam na,app/fresenius k,2015,3270,3097
ampicillin-sulbactam,ampicillin sodium/sulbactam na,app/fresenius k,2016,995,936
ampicillin-sulbactam,ampicillin sodium/sulbactam na,hospira,2013,192,NA
ampicillin-sulbactam,ampicillin sodium/sulbactam na,hospira,2014,199,NA
