brand_name,generic_name,manufacturer,year,total_claims_16,total_claims_17
acetylcysteine,acetylcysteine,hospira/pfizer,2014,NA,8895
acetylcysteine,acetylcysteine,hospira/pfizer,2015,NA,12409
acetylcysteine,acetylcysteine,hospira/pfizer,2016,NA,10586
acetylcysteine,acetylcysteine,roxane labs.,2013,807,NA
acetylcysteine,acetylcysteine,roxane labs.,2014,322,NA
acetylcysteine,acetylcysteine,roxane labs.,2015,304,NA
acetylcysteine,acetylcysteine,roxane labs.,2016,152,NA
aciphex sprinkle,rabeprazole sodium,avadel pharmace,2015,NA,60
aciphex sprinkle,rabeprazole sodium,avadel pharmace,2016,NA,186
aciphex sprinkle,rabeprazole sodium,fsc labs,2015,60,NA
aciphex sprinkle,rabeprazole sodium,fsc labs,2016,186,NA
acitretin,acitretin,actavis/impax g,2016,NA,2908
acitretin,acitretin,mylan,2016,NA,5787
acthib,haemoph b poly conj-tet tox/pf,sanofi-pasteur,2013,375,NA
acthib,haemoph b poly conj-tet tox/pf,sanofi-pasteur,2014,597,NA
acthib,haemoph b poly conj-tet tox/pf,sanofi-pasteur,2015,679,NA
actiq,fentanyl citrate,teva usa,2013,158,NA
actiq,fentanyl citrate,teva usa,2014,75,NA
actiq,fentanyl citrate,teva usa,2015,84,NA
actiq,fentanyl citrate,teva usa,2016,80,NA
activella,estradiol/norethindrone acet,gemini laborato,2016,NA,533
activella,estradiol/norethindrone acet,novo nordisk,2013,4724,NA
activella,estradiol/norethindrone acet,novo nordisk,2014,2990,NA
activella,estradiol/norethindrone acet,novo nordisk,2015,2373,NA
activella,estradiol/norethindrone acet,novo nordisk,2016,1435,NA
acyclovir,acyclovir,actavis pharma,2013,1780,NA
acyclovir,acyclovir,actavis pharma,2014,16499,NA
acyclovir,acyclovir,actavis pharma,2015,21540,NA
acyclovir,acyclovir,actavis pharma,2016,19506,NA
acyclovir,acyclovir,actavis pharma/,2013,NA,1780
acyclovir,acyclovir,actavis pharma/,2014,NA,16499
acyclovir,acyclovir,actavis pharma/,2015,NA,21540
acyclovir,acyclovir,actavis pharma/,2016,NA,19506
acyclovir,acyclovir,dava pharmaceut,2013,76,NA
acyclovir,acyclovir,dava pharmaceut,2014,76,NA
acyclovir,acyclovir,dava pharmaceut,2015,2400,NA
acyclovir,acyclovir,dava pharmaceut,2016,542,NA
acyclovir,acyclovir,"gsms, inc.",2014,22,NA
acyclovir,acyclovir,"gsms, inc.",2015,76,NA
acyclovir,acyclovir,"gsms, inc.",2016,66,NA
acyclovir,acyclovir,mckesson packag,2016,NA,135
acyclovir,acyclovir,oceanside pharm,2013,24261,NA
acyclovir,acyclovir,oceanside pharm,2014,22133,NA
acyclovir,acyclovir,oceanside pharm,2015,2528,NA
acyclovir,acyclovir,oceanside pharm,2016,199,NA
acyclovir,acyclovir,qualitest,2013,34497,NA
acyclovir,acyclovir,qualitest,2014,1744,NA
acyclovir,acyclovir,qualitest,2015,5840,NA
acyclovir,acyclovir,qualitest,2016,1158,NA
acyclovir,acyclovir,quinn pharmaceu,2016,NA,12856
adapalene,adapalene,actavis pharma,2015,191,NA
adapalene,adapalene,actavis pharma,2016,367,NA
adapalene,adapalene,actavis pharma/,2015,NA,191
adapalene,adapalene,actavis pharma/,2016,NA,367
adrucil,fluorouracil,teva parenteral,2013,133,NA
adrucil,fluorouracil,teva parenteral,2014,125,NA
adrucil,fluorouracil,teva parenteral,2015,98,NA
adrucil,fluorouracil,teva parenteral,2016,106,NA
advicor,niacin/lovastatin,abbvie us llc,2013,27546,NA
advicor,niacin/lovastatin,abbvie us llc,2014,20637,NA
advicor,niacin/lovastatin,abbvie us llc,2015,13012,NA
advicor,niacin/lovastatin,abbvie us llc,2016,1814,NA
adzenys xr-odt,amphetamine,neos therapeuti,2016,NA,60
aerospan,flunisolide,meda pharmaceut,2014,687,NA
aerospan,flunisolide,meda pharmaceut,2015,2798,NA
aerospan,flunisolide,meda pharmaceut,2016,1218,NA
aerospan,flunisolide,meda/mylan spec,2016,NA,2072
afeditab cr,nifedipine,actavis pharma,2013,67831,NA
afeditab cr,nifedipine,actavis pharma,2014,103721,NA
afeditab cr,nifedipine,actavis pharma,2015,52750,NA
afeditab cr,nifedipine,actavis pharma,2016,34112,NA
afeditab cr,nifedipine,actavis pharma/,2013,NA,67831
afeditab cr,nifedipine,actavis pharma/,2014,NA,103721
afeditab cr,nifedipine,actavis pharma/,2015,NA,52750
afeditab cr,nifedipine,actavis pharma/,2016,NA,34112
afrezza,"insulin regular, human",mannkind corpor,2016,NA,700
afrezza,"insulin regular, human",sanofi-aventis,2015,2581,NA
afrezza,"insulin regular, human",sanofi-aventis,2016,2147,NA
albutein,albumin human,grifols,2013,44,NA
albutein,albumin human,grifols,2014,44,NA
albutein,albumin human,grifols,2015,90,NA
albutein,albumin human,grifols,2016,82,NA
albuterol sulfate,albuterol sulfate,actavis pharma,2013,52144,NA
albuterol sulfate,albuterol sulfate,actavis pharma,2014,84654,NA
albuterol sulfate,albuterol sulfate,actavis pharma,2015,150680,NA
albuterol sulfate,albuterol sulfate,actavis pharma,2016,106522,NA
albuterol sulfate,albuterol sulfate,actavis pharma/,2013,NA,52144
albuterol sulfate,albuterol sulfate,actavis pharma/,2014,NA,84654
albuterol sulfate,albuterol sulfate,actavis pharma/,2015,NA,150680
albuterol sulfate,albuterol sulfate,actavis pharma/,2016,NA,106522
albuterol sulfate,albuterol sulfate,qualitest,2013,15976,NA
albuterol sulfate,albuterol sulfate,qualitest,2014,23384,NA
albuterol sulfate,albuterol sulfate,qualitest,2015,23788,NA
albuterol sulfate,albuterol sulfate,qualitest,2016,7574,NA
albuterol sulfate,albuterol sulfate,qualitest/par p,2013,NA,3343
albuterol sulfate,albuterol sulfate,qualitest/par p,2014,NA,6506
albuterol sulfate,albuterol sulfate,qualitest/par p,2015,NA,6198
albuterol sulfate,albuterol sulfate,qualitest/par p,2016,NA,345
albuterol sulfate,albuterol sulfate,vistapharm,2016,NA,153
alcohol prep pads,alcohol antiseptic pads,cvs,2016,NA,2728
alcohol swabs,alcohol antiseptic pads,rugby,2013,65240,NA
alcohol swabs,alcohol antiseptic pads,rugby,2014,21426,NA
alcohol swabs,alcohol antiseptic pads,rugby,2015,2379,NA
alcohol swabs,alcohol antiseptic pads,rugby,2016,296,NA
alcohol swabs,alcohol antiseptic pads,ultimed inc,2016,NA,183
alcohol wipes,alcohol antiseptic pads,amerisourceberg,2016,NA,55
aldactazide,spironolact/hydrochlorothiazid,pharmaci/pfizer,2013,NA,4126
aldactazide,spironolact/hydrochlorothiazid,pharmaci/pfizer,2014,NA,3158
aldactazide,spironolact/hydrochlorothiazid,pharmaci/pfizer,2015,NA,2530
aldactazide,spironolact/hydrochlorothiazid,pharmaci/pfizer,2016,NA,2116
aldactazide,spironolact/hydrochlorothiazid,pharmacia/upjhn,2013,4126,NA
aldactazide,spironolact/hydrochlorothiazid,pharmacia/upjhn,2014,3158,NA
aldactazide,spironolact/hydrochlorothiazid,pharmacia/upjhn,2015,2530,NA
aldactazide,spironolact/hydrochlorothiazid,pharmacia/upjhn,2016,2116,NA
aldactone,spironolactone,pharmaci/pfizer,2013,NA,3606
aldactone,spironolactone,pharmaci/pfizer,2014,NA,3311
aldactone,spironolactone,pharmaci/pfizer,2015,NA,3264
aldactone,spironolactone,pharmaci/pfizer,2016,NA,3421
aldactone,spironolactone,pharmacia/upjhn,2013,3606,NA
aldactone,spironolactone,pharmacia/upjhn,2014,3311,NA
aldactone,spironolactone,pharmacia/upjhn,2015,3264,NA
aldactone,spironolactone,pharmacia/upjhn,2016,3421,NA
alecensa,alectinib hcl,"genentech, inc.",2015,NA,11
alecensa,alectinib hcl,"genentech, inc.",2016,NA,1876
alendronate sodium,alendronate sodium,actavis pharma,2013,2370325,NA
alendronate sodium,alendronate sodium,actavis pharma,2014,2250290,NA
alendronate sodium,alendronate sodium,actavis pharma,2015,2388202,NA
alendronate sodium,alendronate sodium,actavis pharma,2016,2184231,NA
alendronate sodium,alendronate sodium,actavis pharma/,2013,NA,2370325
alendronate sodium,alendronate sodium,actavis pharma/,2014,NA,2250290
alendronate sodium,alendronate sodium,actavis pharma/,2015,NA,2388202
alendronate sodium,alendronate sodium,actavis pharma/,2016,NA,2184231
alendronate sodium,alendronate sodium,actavis/impax g,2013,NA,2217412
alendronate sodium,alendronate sodium,actavis/impax g,2014,NA,2057849
alendronate sodium,alendronate sodium,actavis/impax g,2015,NA,1939728
alendronate sodium,alendronate sodium,actavis/impax g,2016,NA,1421971
alendronate sodium,alendronate sodium,"gsms, inc.",2015,105,NA
alendronate sodium,alendronate sodium,"gsms, inc.",2016,198,NA
alendronate sodium,alendronate sodium,impax generics,2016,NA,118
alendronate sodium,alendronate sodium,teva usa/impax,2013,2217412,NA
alendronate sodium,alendronate sodium,teva usa/impax,2014,2057849,NA
alendronate sodium,alendronate sodium,teva usa/impax,2015,1939728,NA
alendronate sodium,alendronate sodium,teva usa/impax,2016,1421971,NA
alendronate sodium,alendronate sodium,watson labs,2013,45907,NA
alendronate sodium,alendronate sodium,watson labs,2014,2960,NA
alendronate sodium,alendronate sodium,watson labs,2015,386,NA
alendronate sodium,alendronate sodium,watson labs,2016,109,NA
alfuzosin hcl er,alfuzosin hcl,"cipla usa, inc.",2016,NA,29180
allopurinol,allopurinol,actavis pharma,2013,950761,NA
allopurinol,allopurinol,actavis pharma,2014,893294,NA
allopurinol,allopurinol,actavis pharma,2015,1130696,NA
allopurinol,allopurinol,actavis pharma,2016,871843,NA
allopurinol,allopurinol,actavis pharma/,2013,NA,950761
allopurinol,allopurinol,actavis pharma/,2014,NA,893294
allopurinol,allopurinol,actavis pharma/,2015,NA,1130696
allopurinol,allopurinol,actavis pharma/,2016,NA,871843
allopurinol,allopurinol,ingenus pharmac,2016,NA,13264
allopurinol,allopurinol,qualitest,2013,2963705,NA
allopurinol,allopurinol,qualitest,2014,3082458,NA
allopurinol,allopurinol,qualitest,2015,2560044,NA
allopurinol,allopurinol,qualitest,2016,2160817,NA
allopurinol,allopurinol,qualitest/par p,2013,NA,2963705
allopurinol,allopurinol,qualitest/par p,2014,NA,3082458
allopurinol,allopurinol,qualitest/par p,2015,NA,2560044
allopurinol,allopurinol,qualitest/par p,2016,NA,2160817
allopurinol,allopurinol,sun pharmaceuti,2013,NA,12669
allopurinol,allopurinol,sun pharmaceuti,2014,NA,1761
allopurinol,allopurinol,sun pharmaceuti,2015,NA,128
allopurinol,allopurinol,sun pharmaceuti,2016,NA,77019
allzital,butalbital/acetaminophen,skylar laborato,2016,NA,390
almotriptan malate,almotriptan malate,ajanta pharma l,2016,NA,1030
almotriptan malate,almotriptan malate,mylan,2016,NA,1569
almotriptan malate,almotriptan malate,teva usa,2015,757,NA
almotriptan malate,almotriptan malate,teva usa,2016,1497,NA
alogliptin,alogliptin benzoate,perrigo co.,2016,NA,5416
alogliptin-metformin,alogliptin benz/metformin hcl,perrigo co.,2016,NA,1753
alogliptin-pioglitazone,alogliptin benz/pioglitazone,perrigo co.,2016,NA,4447
alosetron hcl,alosetron hcl,actavis pharma,2015,1283,NA
alosetron hcl,alosetron hcl,actavis pharma,2016,3774,NA
alosetron hcl,alosetron hcl,actavis pharma/,2015,NA,1283
alosetron hcl,alosetron hcl,actavis pharma/,2016,NA,3774
alprazolam,alprazolam,actavis pharma/,2013,NA,3478651
alprazolam,alprazolam,actavis pharma/,2014,NA,3855738
alprazolam,alprazolam,actavis pharma/,2015,NA,4036097
alprazolam,alprazolam,actavis pharma/,2016,NA,3984497
alprazolam,alprazolam,bionpharma inc.,2016,NA,40949
alprazolam,alprazolam,qualitest,2013,1344312,NA
alprazolam,alprazolam,qualitest,2014,1301638,NA
alprazolam,alprazolam,qualitest,2015,701289,NA
alprazolam,alprazolam,qualitest,2016,24114,NA
alprazolam er,alprazolam,actavis pharma,2013,16407,NA
alprazolam er,alprazolam,actavis pharma,2014,29974,NA
alprazolam er,alprazolam,actavis pharma,2015,31724,NA
alprazolam er,alprazolam,actavis pharma,2016,31485,NA
alprazolam er,alprazolam,actavis pharma/,2013,NA,16407
alprazolam er,alprazolam,actavis pharma/,2014,NA,29974
alprazolam er,alprazolam,actavis pharma/,2015,NA,31724
alprazolam er,alprazolam,actavis pharma/,2016,NA,31485
alprazolam odt,alprazolam,actavis pharma,2013,3031,NA
alprazolam odt,alprazolam,actavis pharma,2014,3387,NA
alprazolam odt,alprazolam,actavis pharma,2015,4140,NA
alprazolam odt,alprazolam,actavis pharma,2016,4691,NA
alprazolam odt,alprazolam,actavis pharma/,2013,NA,3031
alprazolam odt,alprazolam,actavis pharma/,2014,NA,3387
alprazolam odt,alprazolam,actavis pharma/,2015,NA,4140
alprazolam odt,alprazolam,actavis pharma/,2016,NA,4691
altabax,retapamulin,glaxosmithkline,2013,4658,NA
altabax,retapamulin,glaxosmithkline,2014,3576,NA
altabax,retapamulin,glaxosmithkline,2015,2150,NA
altabax,retapamulin,glaxosmithkline,2016,1437,NA
alvesco,ciclesonide,sunovion pharma,2013,24790,NA
alvesco,ciclesonide,sunovion pharma,2014,24408,NA
alvesco,ciclesonide,sunovion pharma,2015,21762,NA
alvesco,ciclesonide,sunovion pharma,2016,19462,NA
alvesco,ciclesonide,sunovion/covis,2013,NA,24790
alvesco,ciclesonide,sunovion/covis,2014,NA,24408
alvesco,ciclesonide,sunovion/covis,2015,NA,21762
alvesco,ciclesonide,sunovion/covis,2016,NA,19462
amabelz,estradiol/norethindrone acet,lupin pharmaceu,2016,NA,301
amantadine,amantadine hcl,bionpharma inc.,2016,NA,17683
amantadine,amantadine hcl,upsher smith,2013,169667,NA
amantadine,amantadine hcl,upsher smith,2014,182481,NA
amantadine,amantadine hcl,upsher smith,2015,206691,NA
amantadine,amantadine hcl,upsher smith,2016,232757,NA
amantadine,amantadine hcl,upsher smith la,2013,NA,159904
amantadine,amantadine hcl,upsher smith la,2014,NA,179917
amantadine,amantadine hcl,upsher smith la,2015,NA,205958
amantadine,amantadine hcl,upsher smith la,2016,NA,232518
amantadine,amantadine hcl,zydus pharmaceu,2016,NA,585
amethyst,levonorgestrel-ethin estradiol,actavis pharma,2013,1935,NA
amethyst,levonorgestrel-ethin estradiol,actavis pharma,2014,1821,NA
amethyst,levonorgestrel-ethin estradiol,actavis pharma,2015,1483,NA
amethyst,levonorgestrel-ethin estradiol,actavis pharma,2016,1212,NA
amethyst,levonorgestrel-ethin estradiol,actavis pharma/,2013,NA,1935
amethyst,levonorgestrel-ethin estradiol,actavis pharma/,2014,NA,1821
amethyst,levonorgestrel-ethin estradiol,actavis pharma/,2015,NA,1483
amethyst,levonorgestrel-ethin estradiol,actavis pharma/,2016,NA,1212
amikacin sulfate,amikacin sulfate,app/fresenius k,2016,NA,1837
amikacin sulfate,amikacin sulfate,novaplus/teva,2015,286,NA
amikacin sulfate,amikacin sulfate,novaplus/teva,2016,210,NA
amikacin sulfate,amikacin sulfate,sagent pharmace,2016,NA,973
amikacin sulfate,amikacin sulfate,"west-ward, inc.",2015,NA,18
amikacin sulfate,amikacin sulfate,"west-ward, inc.",2016,NA,2164
amiloride-hydrochlorothiazide,amiloride/hydrochlorothiazide,barr,2013,10010,NA
amiloride-hydrochlorothiazide,amiloride/hydrochlorothiazide,barr,2014,22564,NA
amiloride-hydrochlorothiazide,amiloride/hydrochlorothiazide,barr,2015,28366,NA
amiloride-hydrochlorothiazide,amiloride/hydrochlorothiazide,barr,2016,36820,NA
amiloride-hydrochlorothiazide,amiloride/hydrochlorothiazide,teva usa,2013,NA,10010
amiloride-hydrochlorothiazide,amiloride/hydrochlorothiazide,teva usa,2014,NA,22564
amiloride-hydrochlorothiazide,amiloride/hydrochlorothiazide,teva usa,2015,NA,28366
amiloride-hydrochlorothiazide,amiloride/hydrochlorothiazide,teva usa,2016,NA,36820
amino acids,parenteral amino acid 15% no.1,b.braun,2013,17,NA
amino acids,parenteral amino acid 15% no.1,b.braun,2014,36,NA
amino acids,parenteral amino acid 15% no.1,b.braun,2015,366,NA
amino acids,parenteral amino acid 15% no.1,b.braun,2016,221,NA
aminocaproic acid,aminocaproic acid,versapharm/akor,2013,6060,NA
aminocaproic acid,aminocaproic acid,versapharm/akor,2014,5599,NA
aminocaproic acid,aminocaproic acid,versapharm/akor,2015,3622,NA
aminocaproic acid,aminocaproic acid,versapharm/akor,2016,479,NA
aminosyn ii,parenteral amino acid 15% no.2,hospira,2013,66,NA
aminosyn ii,parenteral amino acid 15% no.2,hospira,2014,265,NA
aminosyn ii,parenteral amino acid 15% no.2,hospira,2015,295,NA
aminosyn ii,parenteral amino acid 15% no.2,hospira,2016,134,NA
amiodarone hcl,amiodarone hcl,aurobindo pharm,2016,NA,29567
amiodarone hcl,amiodarone hcl,major pharmaceu,2016,NA,69
amitriptyline hcl,amitriptyline hcl,qualitest,2013,1889129,NA
amitriptyline hcl,amitriptyline hcl,qualitest,2014,1643003,NA
amitriptyline hcl,amitriptyline hcl,qualitest,2015,1354559,NA
amitriptyline hcl,amitriptyline hcl,qualitest,2016,1203682,NA
amitriptyline hcl,amitriptyline hcl,qualitest/par p,2013,NA,1889129
amitriptyline hcl,amitriptyline hcl,qualitest/par p,2014,NA,1643003
amitriptyline hcl,amitriptyline hcl,qualitest/par p,2015,NA,1354559
amitriptyline hcl,amitriptyline hcl,qualitest/par p,2016,NA,1203682
amlodipine-atorvastatin,amlodipine/atorvastatin,mylan,2013,6416,NA
amlodipine-olmesartan,amlodipine bes/olmesartan med,ajanta pharma l,2016,NA,2619
amlodipine-olmesartan,amlodipine bes/olmesartan med,macleods pharma,2016,NA,4184
amlodipine-olmesartan,amlodipine bes/olmesartan med,sun pharmaceuti,2016,NA,10602
amlodipine-olmesartan,amlodipine bes/olmesartan med,teva usa,2016,NA,7275
amlodipine-valsartan,amlodipine besylate/valsartan,aurobindo pharm,2016,NA,655
amlodipine-valsartan,amlodipine besylate/valsartan,gavis/lupin,2015,NA,1183
amlodipine-valsartan,amlodipine besylate/valsartan,gavis/lupin,2016,NA,1927
amlodipine-valsartan,amlodipine besylate/valsartan,lupin pharmaceu,2015,NA,11864
amlodipine-valsartan,amlodipine besylate/valsartan,lupin pharmaceu,2016,NA,22376
amlodipine-valsartan,amlodipine besylate/valsartan,mylan,2015,NA,41735
amlodipine-valsartan,amlodipine besylate/valsartan,mylan,2016,NA,82267
amlodipine-valsartan,amlodipine besylate/valsartan,par pharm.,2014,NA,64877
amlodipine-valsartan,amlodipine besylate/valsartan,par pharm.,2015,NA,217738
amlodipine-valsartan,amlodipine besylate/valsartan,par pharm.,2016,NA,129128
amlodipine-valsartan,amlodipine besylate/valsartan,sandoz,2015,NA,7248
amlodipine-valsartan,amlodipine besylate/valsartan,sandoz,2016,NA,16572
amlodipine-valsartan,amlodipine besylate/valsartan,teva usa,2015,NA,66997
amlodipine-valsartan,amlodipine besylate/valsartan,teva usa,2016,NA,119545
amlodipine-valsartan,amlodipine besylate/valsartan,torrent pharmac,2015,NA,22392
amlodipine-valsartan,amlodipine besylate/valsartan,torrent pharmac,2016,NA,32076
amlodipine-valsartan,amlodipine besylate/valsartan,trigen laborato,2016,NA,1545
amlodipine-valsartan,amlodipine/valsartan,gavis/lupin,2015,1141,NA
amlodipine-valsartan,amlodipine/valsartan,gavis/lupin,2016,1850,NA
amlodipine-valsartan,amlodipine/valsartan,lupin pharmaceu,2015,11864,NA
amlodipine-valsartan,amlodipine/valsartan,lupin pharmaceu,2016,22376,NA
amlodipine-valsartan,amlodipine/valsartan,mylan,2015,41735,NA
amlodipine-valsartan,amlodipine/valsartan,mylan,2016,82267,NA
amlodipine-valsartan,amlodipine/valsartan,par pharm.,2014,64877,NA
amlodipine-valsartan,amlodipine/valsartan,par pharm.,2015,217738,NA
amlodipine-valsartan,amlodipine/valsartan,par pharm.,2016,129128,NA
amlodipine-valsartan,amlodipine/valsartan,sandoz,2015,7248,NA
amlodipine-valsartan,amlodipine/valsartan,sandoz,2016,16572,NA
amlodipine-valsartan,amlodipine/valsartan,teva usa,2015,66997,NA
amlodipine-valsartan,amlodipine/valsartan,teva usa,2016,119545,NA
amlodipine-valsartan,amlodipine/valsartan,torrent pharmac,2015,22392,NA
amlodipine-valsartan,amlodipine/valsartan,torrent pharmac,2016,32076,NA
amlodipine besylate,amlodipine besylate,qualitest,2013,2455377,NA
amlodipine besylate,amlodipine besylate,qualitest,2014,3239496,NA
amlodipine besylate,amlodipine besylate,qualitest,2015,3352393,NA
amlodipine besylate,amlodipine besylate,qualitest,2016,3046134,NA
amlodipine besylate,amlodipine besylate,qualitest/par p,2013,NA,2455377
amlodipine besylate,amlodipine besylate,qualitest/par p,2014,NA,3239496
amlodipine besylate,amlodipine besylate,qualitest/par p,2015,NA,3352393
amlodipine besylate,amlodipine besylate,qualitest/par p,2016,NA,3046134
amlodipine besylate-benazepril,amlodipine besylate/benazepril,actavis pharma,2013,104850,NA
amlodipine besylate-benazepril,amlodipine besylate/benazepril,actavis pharma,2014,113427,NA
amlodipine besylate-benazepril,amlodipine besylate/benazepril,actavis pharma,2015,80004,NA
amlodipine besylate-benazepril,amlodipine besylate/benazepril,actavis pharma,2016,59603,NA
amlodipine besylate-benazepril,amlodipine besylate/benazepril,actavis pharma/,2013,NA,104850
amlodipine besylate-benazepril,amlodipine besylate/benazepril,actavis pharma/,2014,NA,113427
amlodipine besylate-benazepril,amlodipine besylate/benazepril,actavis pharma/,2015,NA,80004
amlodipine besylate-benazepril,amlodipine besylate/benazepril,actavis pharma/,2016,NA,59603
amlodipine besylate-benazepril,amlodipine besylate/benazepril,citron pharma l,2016,NA,7564
amlodipine besylate-benazepril,amlodipine besylate/benazepril,par pharm.,2013,26312,NA
amlodipine besylate-benazepril,amlodipine besylate/benazepril,par pharm.,2014,5609,NA
amlodipine besylate-benazepril,amlodipine besylate/benazepril,par pharm.,2015,898,NA
amlodipine besylate-benazepril,amlodipine besylate/benazepril,par pharm.,2016,78,NA
amoxapine,amoxapine,actavis pharma,2013,14285,NA
amoxapine,amoxapine,actavis pharma,2014,13672,NA
amoxapine,amoxapine,actavis pharma,2015,12946,NA
amoxapine,amoxapine,actavis pharma,2016,12156,NA
amoxapine,amoxapine,actavis pharma/,2013,NA,14285
amoxapine,amoxapine,actavis pharma/,2014,NA,13672
amoxapine,amoxapine,actavis pharma/,2015,NA,12946
amoxapine,amoxapine,actavis pharma/,2016,NA,12156
amoxicillin,amoxicillin,bi-coastal phar,2016,NA,1138
amoxicillin,amoxicillin,qualitest,2013,258174,NA
amoxicillin,amoxicillin,qualitest,2014,265966,NA
amoxicillin,amoxicillin,qualitest,2015,286682,NA
amoxicillin,amoxicillin,qualitest,2016,14116,NA
amoxicillin,amoxicillin,qualitest/par p,2013,NA,249998
amoxicillin,amoxicillin,qualitest/par p,2014,NA,257914
amoxicillin,amoxicillin,qualitest/par p,2015,NA,278843
amoxicillin,amoxicillin,qualitest/par p,2016,NA,11757
amoxicillin-clavulanate potass,amoxicillin/potassium clav,mylan,2016,NA,8718
ampicillin-sulbactam,ampicillin sodium/sulbactam na,hospira,2013,192,NA
ampicillin-sulbactam,ampicillin sodium/sulbactam na,hospira,2014,199,NA
ampicillin-sulbactam,ampicillin sodium/sulbactam na,hospira,2015,178,NA
ampicillin-sulbactam,ampicillin sodium/sulbactam na,hospira,2016,141,NA
ampicillin sodium,ampicillin sodium,sandoz/premier,2016,NA,217
